,ND##length##millimeters,BWid##length##millimeters,FID##length##millimeters,MThk##length##millimeters,BOD##length##millimeters,Hgt##length##millimeters
0.125,6.000000,5.100000,10.300000,2.290000,17.600000,13.500000
0.25,8.000000,5.500000,13.700000,2.410000,21.400000,16.000000
0.375,10.000000,5.800000,17.100000,2.540000,25.800000,18.800000
0.5,15.000000,6.300000,21.300000,2.670000,30.400000,22.100000
0.75,20.000000,6.900000,26.700000,3.050000,37.000000,24.600000
1,25.000000,7.700000,33.400000,3.400000,45.000000,29.500000
1.25,32.000000,8.700000,42.200000,3.680000,54.700000,32.500000
1.5,40.000000,9.300000,48.300000,3.940000,61.600000,33.800000
2,50.000000,10.700000,60.300000,4.390000,75.300000,36.800000
2.5,65.000000,12.100000,73.000000,5.330000,91.300000,43.200000
3,80.000000,13.900000,88.900000,5.870000,108.800000,45.700000
3.5,90.000000,15.300000,101.600000,6.300000,123.000000,48.300000
4,100.000000,16.900000,114.400000,6.730000,137.200000,52.800000
5,125.000000,19.800000,141.300000,7.620000,167.200000,58.900000
6,150.000000,22.900000,168.300000,8.530000,197.300000,64.800000
